Canton;CodeCommune;Commune;BV;Inscrits;Votants;Abstention;Blancs et nuls;Exprimés;Kichi;Bousquet;Raphael;Loiseau;Asselineau;Geyres;Frison;Levieux;Feuillas;Costes;Nekkaz;Garcia-Luna;Miguet;Carpentier;Barral;Lebreton;Garay
24;230;SAINT-AUBIN;1;340;153;187;8;145;1;39;1;1;0;2;5;0;6;54;0;0;0;4;30;2;0
24;284;SALLES;1;216;121;95;9;112;2;35;1;5;0;0;2;0;0;37;0;0;1;4;23;1;1
24;291;LA SAUVETAT-SUR-LÈDE;1;430;208;222;10;198;5;68;3;9;1;0;5;0;9;48;0;0;1;9;30;5;5
24;295;SAVIGNAC-SUR-LEYZE;1;234;97;137;11;86;3;17;0;5;1;0;4;0;5;18;0;0;0;3;26;2;2
26;17;AURADOU;1;265;132;133;4;128;3;45;1;6;0;0;2;0;6;44;0;0;0;3;16;1;1
26;79;DAUSSE;1;328;153;175;5;148;3;36;4;5;0;1;6;1;6;39;0;1;0;0;42;4;0
26;105;FRESPECH;1;199;98;101;5;93;0;25;1;6;1;0;4;0;9;14;0;0;1;2;28;0;2
26;117;HAUTEFAGE-LA-TOUR;1;588;241;347;9;232;2;75;9;26;0;2;3;0;9;54;0;0;0;8;41;1;2
26;161;MASSELS;1;90;34;56;0;34;1;14;0;0;0;0;0;0;0;15;0;0;0;0;4;0;0
26;162;MASSOULÈS;1;158;111;47;5;106;2;27;9;2;0;0;1;0;0;33;0;0;0;1;30;0;1
26;203;PENNE-D'AGENAIS;1;820;419;401;15;404;8;101;11;25;1;1;2;1;11;82;0;0;1;15;137;1;7
26;203;PENNE-D'AGENAIS;2;730;320;410;13;307;7;75;5;15;0;0;10;0;4;68;0;0;2;11;100;6;4
26;203;PENNE-D'AGENAIS;3;121;67;54;2;65;0;9;16;3;0;0;0;0;2;21;0;1;0;1;11;1;0
26;203;PENNE-D'AGENAIS;4;132;53;79;1;52;2;16;0;5;0;0;1;1;1;16;0;0;0;0;10;0;0
26;280;SAINT-SYLVESTRE-SUR-LOT;1;817;394;423;16;378;8;89;11;7;0;0;15;2;7;120;0;0;5;12;92;7;3
26;280;SAINT-SYLVESTRE-SUR-LOT;2;875;418;457;18;400;8;137;3;16;2;0;20;0;15;85;0;3;0;11;95;4;1
