CodeCommune;Commune;BV;Inscrits;votants;Abstention;blancs et nuls;Exprimés;Bousquet;Costes
323;VILLENEUVE-SUR-LOT;4;810;395;415;64;331;148;183
323;VILLENEUVE-SUR-LOT;5;794;409;385;56;353;149;204
323;VILLENEUVE-SUR-LOT;6;965;448;517;69;379;189;190
323;VILLENEUVE-SUR-LOT;7;970;501;469;82;419;187;232
323;VILLENEUVE-SUR-LOT;8;1166;562;604;84;478;233;245
323;VILLENEUVE-SUR-LOT;9;835;413;422;59;354;175;179
323;VILLENEUVE-SUR-LOT;10;994;525;469;60;465;249;216
323;VILLENEUVE-SUR-LOT;11;169;105;64;11;94;30;64
323;VILLENEUVE-SUR-LOT;12;391;199;192;21;178;91;87
323;VILLENEUVE-SUR-LOT;13;311;168;143;24;144;93;51
323;VILLENEUVE-SUR-LOT;14;870;459;411;48;411;224;187
323;VILLENEUVE-SUR-LOT;15;703;322;381;47;275;137;138
323;VILLENEUVE-SUR-LOT;16;962;447;515;59;388;185;203
323;VILLENEUVE-SUR-LOT;17;821;382;439;54;328;181;147
323;VILLENEUVE-SUR-LOT;18;922;414;508;60;354;179;175
323;VILLENEUVE-SUR-LOT;19;887;463;424;74;389;181;208
323;VILLENEUVE-SUR-LOT;20;957;471;486;57;414;207;207
323;VILLENEUVE-SUR-LOT;21;735;402;333;48;354;155;199
324;VILLERÉAL;1;871;447;424;65;382;186;196
328;SAINT-GEORGES;1;410;256;154;29;227;77;150

